DATE,JCXFE
1/1/1959,16.703
4/1/1959,16.792
7/1/1959,16.904
10/1/1959,17.002
1/1/1960,17.055
4/1/1960,17.12
7/1/1960,17.187
10/1/1960,17.243
1/1/1961,17.273
4/1/1961,17.329
7/1/1961,17.405
10/1/1961,17.447
1/1/1962,17.511
4/1/1962,17.578
7/1/1962,17.636
10/1/1962,17.669
1/1/1963,17.728
4/1/1963,17.795
7/1/1963,17.863
10/1/1963,17.95
1/1/1964,18.026
4/1/1964,18.079
7/1/1964,18.129
10/1/1964,18.175
1/1/1965,18.244
4/1/1965,18.301
7/1/1965,18.358
10/1/1965,18.419
1/1/1966,18.511
4/1/1966,18.661
7/1/1966,18.815
10/1/1966,18.978
1/1/1967,19.082
4/1/1967,19.21
7/1/1967,19.385
10/1/1967,19.58
1/1/1968,19.803
4/1/1968,20.033
7/1/1968,20.258
10/1/1968,20.493
1/1/1969,20.717
4/1/1969,20.965
7/1/1969,21.207
10/1/1969,21.456
1/1/1970,21.69
4/1/1970,21.935
7/1/1970,22.179
10/1/1970,22.491
1/1/1971,22.776
4/1/1971,23.036
7/1/1971,23.253
10/1/1971,23.385
1/1/1972,23.609
4/1/1972,23.769
7/1/1972,23.948
10/1/1972,24.098
1/1/1973,24.266
4/1/1973,24.597
7/1/1973,24.924
10/1/1973,25.271
1/1/1974,25.704
4/1/1974,26.343
7/1/1974,27.096
10/1/1974,27.758
1/1/1975,28.301
4/1/1975,28.732
7/1/1975,29.163
10/1/1975,29.638
1/1/1976,30.088
4/1/1976,30.449
7/1/1976,30.926
10/1/1976,31.41
1/1/1977,31.939
4/1/1977,32.427
7/1/1977,32.966
10/1/1977,33.445
1/1/1978,33.967
4/1/1978,34.553
7/1/1978,35.146
10/1/1978,35.777
1/1/1979,36.266
4/1/1979,37.063
7/1/1979,37.747
10/1/1979,38.534
1/1/1980,39.477
4/1/1980,40.36
7/1/1980,41.259
10/1/1980,42.264
1/1/1981,43.202
4/1/1981,44.018
7/1/1981,44.829
10/1/1981,45.626
1/1/1982,46.294
4/1/1982,46.92
7/1/1982,47.672
10/1/1982,48.336
1/1/1983,48.971
4/1/1983,49.346
7/1/1983,50.095
10/1/1983,50.496
1/1/1984,51.006
4/1/1984,51.603
7/1/1984,52.088
10/1/1984,52.458
1/1/1985,53.174
4/1/1985,53.635
7/1/1985,54.186
10/1/1985,54.575
1/1/1986,55.165
4/1/1986,55.542
7/1/1986,55.924
10/1/1986,56.378
1/1/1987,56.732
4/1/1987,57.282
7/1/1987,57.795
10/1/1987,58.382
1/1/1988,58.945
4/1/1988,59.66
7/1/1988,60.347
10/1/1988,61.022
1/1/1989,61.687
4/1/1989,62.249
7/1/1989,62.712
10/1/1989,63.286
1/1/1990,64.015
4/1/1990,64.73
7/1/1990,65.384
10/1/1990,65.933
1/1/1991,66.518
4/1/1991,67.031
7/1/1991,67.635
10/1/1991,68.167
1/1/1992,68.688
4/1/1992,69.173
7/1/1992,69.583
10/1/1992,70.093
1/1/1993,70.576
4/1/1993,71.112
7/1/1993,71.509
10/1/1993,71.877
1/1/1994,72.203
4/1/1994,72.689
7/1/1994,73.095
10/1/1994,73.467
1/1/1995,73.852
4/1/1995,74.29
7/1/1995,74.644
10/1/1995,75.019
1/1/1996,75.313
4/1/1996,75.672
7/1/1996,76.017
10/1/1996,76.45
1/1/1997,76.75
4/1/1997,77.15
7/1/1997,77.33
10/1/1997,77.575
1/1/1998,77.804
4/1/1998,78.042
7/1/1998,78.319
10/1/1998,78.568
1/1/1999,78.766
4/1/1999,79.039
7/1/1999,79.33
10/1/1999,79.703
1/1/2000,80.121
4/1/2000,80.4
7/1/2000,80.788
10/1/2000,81.189
1/1/2001,81.716
4/1/2001,82.025
7/1/2001,82.237
10/1/2001,82.634
1/1/2002,82.888
4/1/2002,83.344
7/1/2002,83.788
10/1/2002,84.086
1/1/2003,84.345
4/1/2003,84.665
7/1/2003,85.053
10/1/2003,85.434
1/1/2004,85.903
4/1/2004,86.395
7/1/2004,86.704
10/1/2004,87.174
1/1/2005,87.794
4/1/2005,88.229
7/1/2005,88.573
10/1/2005,89.165
1/1/2006,89.681
4/1/2006,90.396
7/1/2006,90.883
10/1/2006,91.274
1/1/2007,91.904
4/1/2007,92.286
7/1/2007,92.739
10/1/2007,93.381
1/1/2008,93.875
4/1/2008,94.269
7/1/2008,94.751
10/1/2008,94.676
1/1/2009,94.675
4/1/2009,95.046
7/1/2009,95.383
10/1/2009,95.977
1/1/2010,96.305
4/1/2010,96.565
7/1/2010,96.713
10/1/2010,97.019
1/1/2011,97.445
4/1/2011,98.015
7/1/2011,98.462
10/1/2011,98.813
1/1/2012,99.437
4/1/2012,99.848
7/1/2012,100.136
10/1/2012,100.579
1/1/2013,100.983
4/1/2013,101.291
7/1/2013,101.684
10/1/2013,102.181
1/1/2014,102.533
4/1/2014,103.04
7/1/2014,103.438
10/1/2014,103.735
1/1/2015,103.938
4/1/2015,104.384
7/1/2015,104.699
10/1/2015,104.926
1/1/2016,105.365
4/1/2016,105.937
7/1/2016,106.43
10/1/2016,106.818
1/1/2017,107.289
4/1/2017,107.721
7/1/2017,108.09
10/1/2017,108.639
1/1/2018,109.292
4/1/2018,109.943
7/1/2018,110.32
10/1/2018,110.829
1/1/2019,111.136
4/1/2019,111.783
7/1/2019,112.269
10/1/2019,112.647
1/1/2020,113.135
4/1/2020,112.919
7/1/2020,113.904
10/1/2020,114.255
1/1/2021,115.01
4/1/2021,116.731
7/1/2021,118.045
10/1/2021,119.46
