logq,logp,stormy,mixed
8.9944,-0.43078,1,0
7.7071,0,1,0
8.3502,0.072321,0,1
8.657,0.24714,1,0
7.8442,0.66433,1,0
9.3013,-0.20651,0,0
8.9207,-0.11583,0,1
9.106,-0.25987,0,0
8.3077,-0.11713,0,1
9.2095,-0.34208,0,0
8.5526,-0.12556,1,0
8.5232,0.027399,1,0
8.8655,-0.071227,1,0
9.1864,0.12306,1,0
8.6993,0.21309,1,0
9.4089,-0.3172,0,1
8.1502,-0.10884,0,1
6.7032,0.22314,0,1
8.7989,0.24646,0,0
9.5652,-0.075431,0,0
8.2978,0.2056,0,0
8.3209,0.21881,0,0
8.8849,0.30702,0,0
9.3364,0.39959,1,0
8.1227,0.49698,1,0
8.1519,0.39683,1,0
9.5183,0.28305,0,1
8.5679,0.22634,0,1
9.3868,-0.072321,0,1
8.6287,-0.15453,0,1
7.7275,0.23639,1,0
8.4532,0.17185,1,0
7.157,0.15415,1,0
6.363,0.035091,1,0
7.3132,0.21813,0,1
8.3916,-0.062435,0,0
9.1885,-0.44183,0,0
9.3183,-0.76993,0,0
8.3638,-0.73919,1,0
8.6212,-0.723,0,1
8.1447,-0.51843,0,0
8.7108,-0.55339,0,0
8.4174,-0.55907,0,0
9.018,-0.42381,1,0
7.5283,-0.77319,1,0
7.1546,-0.2041,1,0
8.4878,0.38419,1,0
8.9795,0.34799,0,1
8.7443,0.32299,1,0
7.8936,0.43453,1,0
8.5923,0.20002,1,0
9.036,-0.0071685,0,1
9.5257,-0.47446,0,1
9.7731,-0.77111,0,0
8.1588,-1.0948,0,1
8.6776,-0.8602,0,0
9.0348,-0.59784,0,1
8.3756,-0.56798,0,0
7.6497,-0.77111,0,0
7.8536,-0.27241,0,1
7.9551,0.18492,1,0
8.7307,0.20676,1,0
8.6332,0.074108,0,1
8.7963,-0.0071685,1,0
8.994,-0.25489,0,1
9.2238,-0.23649,0,1
8.5685,-0.48485,0,0
9.9814,-0.81193,0,1
9.1721,-0.47804,0,1
8.1167,-0.23011,0,1
9.2414,-0.28879,1,0
8.0163,-0.34093,1,0
9.646,-0.48127,0,0
9.1685,-0.58173,0,0
7.4413,-0.037041,0,1
8.6143,0.074644,0,0
8.902,-0.52683,1,0
7.8575,-0.11233,0,0
8.2282,-0.23767,0,1
7.9862,-0.42439,0,1
9.396,-0.48281,0,1
7.712,-0.19237,0,1
7.7053,0.18232,1,0
7.0139,0.28768,1,0
8.4929,-0.18733,0,1
9.3334,-0.44044,0,0
9.5788,-0.56798,0,0
8.9755,-0.38736,0,0
7.2896,-0.51083,0,0
9.4157,-0.61491,0,0
8.7403,-0.38769,0,0
8.5849,-0.37167,0,0
8.6578,-0.31015,0,0
7.384,-0.3502,0,0
6.1944,-0.22314,0,0
9.1876,-0.3119,0,0
8.7796,-0.22586,0,0
9.261,-0.28427,0,0
8.294,-0.097164,0,0
8.7371,-0.14192,0,0
9.6518,-0.53644,0,0
8.5526,-0.45969,0,0
8.1634,-0.48661,0,0
8.663,-0.76036,0,0
9.0994,-0.89312,0,0
9.0143,-1.1077,0,0
8.6107,-0.79851,0,0
7.1624,-0.087011,0,1
7.362,0.18492,0,1
8.7641,0.22314,0,1
8.3285,0.56112,0,1
